date,description,link,category
2/23/2018,“World Knowledge for Abstract Meaning Representation Parsing” to appear at LREC 2018,files/lrec_AMR_2017.pdf,LIT
2/22/2018,In the News: Michigan researchers predict emotions by examining the correlation between tweets and environmental factors,http://www.eecs.umich.edu/eecs/about/articles/2018/grounded-emotions.html,LIT
2/8/2018,Congratulations to Verónica Pérez-Rosas on joining UM faculty as an Assistant Research Scientist!,https://sites.google.com/site/perezrosasveronica/home,LIT
2/8/2018,In the News: Learning how NLP is Helping us Understand Ourselves Better,http://iridescentlearning.org/2018/01/learning-how-natural-language-processing-is-helping-us-understand-ourselves-better-an-interview-with-rada-mihalcea/,LIT
2/5/2018,Upcoming NLP Talk: Danqi Chen,http://eecs.umich.edu/eecs/etc/events/showevent.cgi?4627,LIT
11/30/2017,Upcoming NLP Talk: Karen Livescu,http://eecs.umich.edu/eecs/etc/events/showevent.cgi?4557,LIT
11/27/2017,Ada Lovelace Opera and Lightning Talks Highlight Women's Contributions to Computing,https://www.eecs.umich.edu/eecs/about/articles/2017/Ada-Lovelace-Opera.html,LIT
10/31/2017,"New datasets available: Demographic-aware Word Associations, Product Usage Expressions, Grounded Emotions, and Human Activity Pairs",downloads.html,LIT
10/30/2017,“Coarse-grained +/-Effect Word Sense Disambiguation for Implicit Sentiment Analysis” to appear in IEEE Transactions on Affective Computing,http://web.eecs.umich.edu/~mihalcea/papers/choi.ieeetac17.pdf,LIT
10/30/2017,“Multimodal Gender Detection” to appear at ICMI 2017,http://web.eecs.umich.edu/~mihalcea/papers/abouelenien.icmi17.pdf,LIT
10/30/2017,“Grounded Emotions” to appear at ACII 2017,http://web.eecs.umich.edu/~mihalcea/papers/liu.acii17.pdf,LIT
10/30/2017,"To appear at IJCNLP 2017: “Identifying Usage Expression Sentences in Consumer Product Reviews”, “Measuring Semantic Relations between Human Activities”, and “Identity Deception Detection”",publications.html,LIT
10/25/2017,Upcoming NLP Talk: Anoop Sarkar,http://cse.umich.edu/eecs/etc/events/showevent.cgi?4510,LIT
9/22/2017,In the News: Improving Natural Language Processing with Demographic-Aware Models,https://www.eecs.umich.edu/eecs/about/articles/2017/demographic-word-associations.html,LIT
8/8/2017,“Matching Graduate Applicants with Faculty Members” to appear at SocInfo 2017,http://web.eecs.umich.edu/~mihalcea/papers/lahiri.socinfo17.pdf,LIT
8/8/2017,“Multimodal Analysis and Prediction of Latent User Dimensions” to appear at SocInfo 2017,http://web.eecs.umich.edu/~mihalcea/papers/wendlandt.socinfo17.pdf,LIT
8/8/2017,“Demographic-Aware Word Associations” to appear at EMNLP 2017,http://web.eecs.umich.edu/~mihalcea/papers/garimella.emnlp17.pdf,LIT
7/15/2017,New download available: Targeted Sentiment,downloads.html,LIT
5/10/2017,Chapter on semantic similarity published in the Oxford Handbook of Computational Linguistics,http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199573691.001.0001/oxfordhb-9780199573691-e-49,LIT
5/10/2017,"""Understanding and Predicting Empathic Behavior in Counseling Therapy” to appear at ACL 2017",http://web.eecs.umich.edu/~mihalcea/papers/perezrosas.acl17.pdf,LIT
5/8/2017,LIT students present work at Midwest Speech and Language Days and Midwest Computational Linguistics Colloquium 2017,http://ttic.uchicago.edu/~kgimpel/MSLD2017.html,LIT
