path,alt,position
fall2022groupphoto.jpg,LIT Group Photo,0
books.jpg,LIT group end of year celebration and gifts,1
pumpkins.jpg,LIT group pumpking carving event,2
fall2024groupphoto.jpg,LIT Group Photo Fall 2024,3
painting.jpg,LIT group painting event,4
fall2023groupphoto.jpg,LIT Group Picture Fall 2023,5
summer.jpg,LIT group social event,
girlsencodedevent.jpg,A volunteer helping with Girls Encoded,
geoliwc.jpg,GeoLIWC Demo,
grouplunch.jpg,The LIT Group at Lunch,
deceptiondetection.jpg,Faces from Deception Detection,
socinfobestpaper.jpg,Best paper award at SocInfo 2018,
slideshow_extra.jpg,LIT Group Lunch,
